model,id,tokens,lmcc_per_token,llm_cc,mean_entropy,density
qwen-0.5b-q4,heldout/libdd_go_hook/test/test_go_arm64_decode.c,2222,0.06975697569756975,155.0,0.6297880406575777,0.28982898289828984
qwen-0.5b-q4,heldout/libdd_go_hook/test/test_go_type.c,1859,0.1088757396449704,202.39999999999998,0.7786347439729537,0.32060247444862827
qwen-0.5b-q4,heldout/libdd_go_hook/test/test_go_x86_decode.c,1142,0.05271453590192644,60.199999999999996,0.4973578754541612,0.212784588441331
qwen-0.5b-q4,heldout/libdd_nccl_profiler/test/analyze_spans.py,1071,0.11671335200746966,125.0,1.3180102695945357,0.5088702147525677
qwen-0.5b-q4,heldout/libdd_nccl_profiler/test/nccl_allreduce_workload.py,173,0.14797687861271674,25.599999999999998,1.1562053100377552,0.5491329479768786
qwen-0.5b-q4,heldout/libdd_nccl_profiler/test/test_inspector_dd_span_accessor.cc,741,0.12577597840755733,93.19999999999999,1.1979170743311265,0.4493927125506073
qwen-0.5b-q4,heldout/libdd_nccl_profiler/test/test_inspector_event_pool.cc,990,0.09838383838383838,97.39999999999999,0.7933900505892385,0.3373737373737374
qwen-0.5b-q6,after/libdd_go_hook/test/test_go_ctx.c,655,0.11083969465648855,72.6,0.826946529864426,0.3893129770992366
qwen-0.5b-q6,after/libdd_go_hook/test/test_go_hook_engine.c,179,0.12849162011173185,23.0,1.4783567340918375,0.6480446927374302
qwen-0.5b-q6,after/libdd_go_hook/test/test_go_pclntab.c,943,0.07932131495227995,74.8,0.7668841764387547,0.30965005302226933
qwen-0.5b-q6,after/libdd_go_hook/test/test_go_read.c,502,0.11274900398406373,56.599999999999994,0.9518526241547832,0.448207171314741
qwen-0.5b-q6,before/libdd_go_hook/test/test_go_ctx.c,738,0.0964769647696477,71.2,0.6964880299391945,0.3333333333333333
qwen-0.5b-q6,before/libdd_go_hook/test/test_go_hook_engine.c,181,0.14033149171270717,25.4,1.4472762802538581,0.6353591160220995
qwen-0.5b-q6,before/libdd_go_hook/test/test_go_pclntab.c,552,0.09384057971014492,51.8,1.0085008205142596,0.42934782608695654
qwen-0.5b-q6,before/libdd_go_hook/test/test_go_read.c,555,0.11495495495495495,63.8,0.8935081803879642,0.409009009009009
qwen-0.5b-q6,heldout/bench/bench_python_format.c,1462,0.11313269493844047,165.39999999999998,0.9433457882702353,0.3987688098495212
qwen-0.5b-q6,heldout/bench/bench_python_stack_capture.py,3081,0.14488802336903603,446.4,0.7723633296793437,0.3317104836092178
qwen-0.5b-q6,heldout/libdd_go_hook/src/go_abi.c,1324,0.06737160120845921,89.19999999999999,0.5223941493537368,0.2054380664652568
qwen-0.5b-q6,heldout/libdd_go_hook/src/go_ctx.c,953,0.11815320041972717,112.6,0.5487107892852922,0.25498426023084997
qwen-0.5b-q6,heldout/libdd_go_hook/src/go_pclntab.c,2383,0.12975241292488457,309.19999999999993,0.577158332648145,0.29584557280738566
qwen-0.5b-q6,heldout/libdd_go_hook/src/go_read.c,266,0.14586466165413534,38.8,0.919792814761511,0.42857142857142855
qwen-0.5b-q6,heldout/libdd_go_hook/src/go_type.c,6000,0.11953333333333332,717.1999999999999,0.6839614057224735,0.33166666666666667
qwen-0.5b-q6,heldout/libdd_go_hook/src/go_x86_decode.c,1267,0.16748224151539068,212.2,0.7225337825898871,0.3788476716653512
qwen-0.5b-q6,heldout/libdd_go_hook/test/fixtures/hello_http.go,108,0.19999999999999998,21.599999999999998,0.7925701423966395,0.42592592592592593
qwen-0.5b-q6,heldout/libdd_go_hook/test/fixtures/hello_parent_child.go,330,0.18848484848484845,62.19999999999999,0.8195750444593366,0.41515151515151516
qwen-0.5b-q6,heldout/libdd_go_hook/test/test_go_abi.c,780,0.08025641025641025,62.599999999999994,0.6716773618925332,0.2782051282051282
qwen-0.5b-q6,heldout/libdd_go_hook/test/test_go_arm64_decode.c,2222,0.07191719171917192,159.8,0.6239110836105716,0.2925292529252925
qwen-0.5b-q6,heldout/libdd_go_hook/test/test_go_type.c,1859,0.10693921463152233,198.8,0.766848557629494,0.3200645508337816
qwen-0.5b-q6,heldout/libdd_go_hook/test/test_go_x86_decode.c,1142,0.05271453590192644,60.199999999999996,0.4949043893721528,0.2119089316987741
qwen-0.5b-q6,heldout/libdd_nccl_profiler/test/analyze_spans.py,1071,0.11559290382819792,123.79999999999998,1.3057841923597138,0.4995331465919701
qwen-0.5b-q6,heldout/libdd_nccl_profiler/test/nccl_allreduce_workload.py,173,0.14797687861271674,25.599999999999998,1.1456609135227833,0.5375722543352601
qwen-0.5b-q6,heldout/libdd_nccl_profiler/test/test_inspector_dd_span_accessor.cc,741,0.12199730094466936,90.39999999999999,1.1668179815083506,0.43724696356275305
qwen-0.5b-q6,heldout/libdd_nccl_profiler/test/test_inspector_event_pool.cc,990,0.09636363636363636,95.39999999999999,0.7778769864704005,0.32727272727272727
qwen-1.5b-q6,after/libdd_go_hook/test/test_go_ctx.c,655,0.1065648854961832,69.8,0.7387183933325986,0.3450381679389313
qwen-1.5b-q6,after/libdd_go_hook/test/test_go_hook_engine.c,179,0.12849162011173185,23.0,1.2980878259050113,0.5642458100558659
qwen-1.5b-q6,after/libdd_go_hook/test/test_go_pclntab.c,943,0.07126193001060444,67.19999999999999,0.6454055161288161,0.26617179215270415
qwen-1.5b-q6,after/libdd_go_hook/test/test_go_read.c,502,0.11035856573705179,55.4,0.8064283062585637,0.3844621513944223
qwen-1.5b-q6,before/libdd_go_hook/test/test_go_ctx.c,738,0.08455284552845528,62.4,0.5928789720922946,0.2845528455284553
qwen-1.5b-q6,before/libdd_go_hook/test/test_go_hook_engine.c,181,0.14033149171270717,25.4,1.2988151370178527,0.574585635359116
qwen-1.5b-q6,before/libdd_go_hook/test/test_go_pclntab.c,552,0.09166666666666666,50.599999999999994,0.9304594333387589,0.40942028985507245
qwen-1.5b-q6,before/libdd_go_hook/test/test_go_read.c,555,0.11063063063063062,61.4,0.7653430336061131,0.3783783783783784
qwen-1.5b-q6,heldout/bench/bench_python_format.c,1462,0.11436388508891929,167.2,0.8416188082064577,0.37824897400820795
qwen-1.5b-q6,heldout/bench/bench_python_stack_capture.py,3081,0.13398247322297954,412.79999999999995,0.6092937156502634,0.2629016553067186
qwen-1.5b-q6,heldout/libdd_go_hook/src/go_abi.c,1324,0.07099697885196375,94.0,0.4885011873558084,0.20468277945619334
qwen-1.5b-q6,heldout/libdd_go_hook/src/go_ctx.c,953,0.11059811122770198,105.39999999999999,0.4843873921589663,0.21196222455403987
qwen-1.5b-q6,heldout/libdd_go_hook/src/go_pclntab.c,2383,0.1215274863617289,289.59999999999997,0.4779266104894823,0.24255140579101972
qwen-1.5b-q6,heldout/libdd_go_hook/src/go_read.c,266,0.14060150375939848,37.4,0.8362523689150506,0.40225563909774437
qwen-1.5b-q6,heldout/libdd_go_hook/src/go_type.c,6000,0.115,690.0,0.5613118074989687,0.2805
qwen-1.5b-q6,heldout/libdd_go_hook/src/go_x86_decode.c,1267,0.15280189423835833,193.6,0.6082826859320982,0.3196527229676401
qwen-1.5b-q6,heldout/libdd_go_hook/test/fixtures/hello_http.go,108,0.19999999999999998,21.599999999999998,0.8144164740935795,0.4074074074074074
qwen-1.5b-q6,heldout/libdd_go_hook/test/fixtures/hello_parent_child.go,330,0.1727272727272727,56.99999999999999,0.6568817662811798,0.3242424242424242
qwen-1.5b-q6,heldout/libdd_go_hook/test/test_go_abi.c,780,0.08025641025641025,62.599999999999994,0.6095405699070677,0.24743589743589745
qwen-1.5b-q6,heldout/libdd_go_hook/test/test_go_arm64_decode.c,2222,0.0675967596759676,150.2,0.5320143962470285,0.2605760576057606
qwen-1.5b-q6,heldout/libdd_go_hook/test/test_go_type.c,1859,0.10564819795589026,196.39999999999998,0.6960804969599279,0.2942442173211404
qwen-1.5b-q6,heldout/libdd_go_hook/test/test_go_x86_decode.c,1142,0.049562171628721535,56.599999999999994,0.45930563792580315,0.202276707530648
qwen-1.5b-q6,heldout/libdd_nccl_profiler/test/analyze_spans.py,1071,0.11559290382819792,123.79999999999998,1.1824329645373484,0.47058823529411764
qwen-1.5b-q6,heldout/libdd_nccl_profiler/test/nccl_allreduce_workload.py,173,0.15606936416184972,27.0,1.0371607939857044,0.5144508670520231
qwen-1.5b-q6,heldout/libdd_nccl_profiler/test/test_inspector_dd_span_accessor.cc,741,0.12010796221322537,89.0,1.0381361454787106,0.39541160593792174
qwen-1.5b-q6,heldout/libdd_nccl_profiler/test/test_inspector_event_pool.cc,990,0.09636363636363636,95.39999999999999,0.6867093310071067,0.30505050505050507
qwen-3b-q6,after/libdd_go_hook/test/test_go_ctx.c,655,0.10229007633587786,67.0,0.65298982608847,0.32213740458015266
qwen-3b-q6,after/libdd_go_hook/test/test_go_hook_engine.c,179,0.12849162011173185,23.0,1.2834296302151913,0.6201117318435754
qwen-3b-q6,after/libdd_go_hook/test/test_go_pclntab.c,943,0.0689289501590668,65.0,0.5823038027251048,0.256627783669141
qwen-3b-q6,after/libdd_go_hook/test/test_go_read.c,502,0.10557768924302789,53.0,0.7769208428821206,0.3745019920318725
qwen-3b-q6,before/libdd_go_hook/test/test_go_ctx.c,738,0.08455284552845528,62.4,0.5607017796721419,0.2696476964769648
qwen-3b-q6,before/libdd_go_hook/test/test_go_hook_engine.c,181,0.13370165745856352,24.199999999999996,1.244294867877532,0.5911602209944752
qwen-3b-q6,before/libdd_go_hook/test/test_go_pclntab.c,552,0.09166666666666666,50.599999999999994,0.8483281821242625,0.39311594202898553
qwen-3b-q6,before/libdd_go_hook/test/test_go_read.c,555,0.1063063063063063,59.0,0.7401189697210505,0.35855855855855856
qwen-3b-q6,heldout/bench/bench_python_format.c,1462,0.1109439124487004,162.2,0.7863843871642597,0.36114911080711354
qwen-3b-q6,heldout/bench/bench_python_stack_capture.py,3081,0.14144758195391105,435.79999999999995,0.5823080676562703,0.2619279454722493
qwen-3b-q6,heldout/libdd_go_hook/src/go_abi.c,1324,0.06555891238670694,86.8,0.46014751030919565,0.1933534743202417
qwen-3b-q6,heldout/libdd_go_hook/src/go_ctx.c,953,0.10472193074501572,99.79999999999998,0.43392381865133295,0.18677859391395593
qwen-3b-q6,heldout/libdd_go_hook/src/go_pclntab.c,2383,0.11330255979857323,270.0,0.41630837899224743,0.21737305916911456
qwen-3b-q6,heldout/libdd_go_hook/src/go_read.c,266,0.13909774436090225,37.0,0.7581951490744421,0.37969924812030076
qwen-3b-q6,heldout/libdd_go_hook/src/go_type.c,6000,0.11246666666666666,674.8,0.5008271597423622,0.254
qwen-3b-q6,heldout/libdd_go_hook/src/go_x86_decode.c,1267,0.15011838989739543,190.2,0.5495336983534046,0.30544593528018943
qwen-3b-q6,heldout/libdd_go_hook/test/fixtures/hello_http.go,108,0.19999999999999998,21.599999999999998,0.8171993460790772,0.42592592592592593
qwen-3b-q6,heldout/libdd_go_hook/test/fixtures/hello_parent_child.go,330,0.1727272727272727,56.99999999999999,0.6874017929810537,0.3393939393939394
qwen-3b-q6,heldout/libdd_go_hook/test/test_go_abi.c,780,0.07256410256410256,56.599999999999994,0.5699356418074949,0.24615384615384617
qwen-3b-q6,heldout/libdd_go_hook/test/test_go_arm64_decode.c,2222,0.06867686768676867,152.6,0.47284032340562887,0.2376237623762376
qwen-3b-q6,heldout/libdd_go_hook/test/test_go_type.c,1859,0.10263582571274879,190.8,0.6349308587568371,0.27326519634211943
qwen-3b-q6,heldout/libdd_go_hook/test/test_go_x86_decode.c,1142,0.04851138353765324,55.4,0.42208796703372237,0.18476357267950963
qwen-3b-q6,heldout/libdd_nccl_profiler/test/analyze_spans.py,1071,0.11559290382819792,123.79999999999998,1.0980266962649372,0.44164332399626516
qwen-3b-q6,heldout/libdd_nccl_profiler/test/nccl_allreduce_workload.py,173,0.15606936416184972,27.0,0.9722794727363837,0.4624277456647399
qwen-3b-q6,heldout/libdd_nccl_profiler/test/test_inspector_dd_span_accessor.cc,741,0.11443994601889339,84.8,0.956374990224587,0.3697705802968961
qwen-3b-q6,heldout/libdd_nccl_profiler/test/test_inspector_event_pool.cc,990,0.09656565656565656,95.6,0.6294865505988086,0.27474747474747474
deepseek-v2-lite-q6,after/libdd_go_hook/test/test_go_ctx.c,943,0.05408271474019088,51.0,0.41277344022907436,0.1823966065747614
deepseek-v2-lite-q6,after/libdd_go_hook/test/test_go_hook_engine.c,246,0.07886178861788617,19.4,0.8988444392531919,0.3943089430894309
deepseek-v2-lite-q6,after/libdd_go_hook/test/test_go_pclntab.c,1181,0.049788314987298896,58.8,0.4392494948366231,0.1727349703640982
deepseek-v2-lite-q6,after/libdd_go_hook/test/test_go_read.c,668,0.07215568862275448,48.199999999999996,0.5192915149879923,0.22604790419161677
deepseek-v2-lite-q6,before/libdd_go_hook/test/test_go_ctx.c,1083,0.04542936288088642,49.199999999999996,0.37120111130426514,0.17082179132040629
deepseek-v2-lite-q6,before/libdd_go_hook/test/test_go_hook_engine.c,254,0.0858267716535433,21.799999999999997,0.9145578813242866,0.38976377952755903
deepseek-v2-lite-q6,before/libdd_go_hook/test/test_go_pclntab.c,707,0.06308345120226308,44.599999999999994,0.6305896644529979,0.2871287128712871
deepseek-v2-lite-q6,before/libdd_go_hook/test/test_go_read.c,738,0.07181571815718157,53.0,0.5011253488721299,0.22764227642276422
deepseek-v2-lite-q6,heldout/bench/bench_python_format.c,1935,0.0807235142118863,156.2,0.5545911860864069,0.2527131782945736
deepseek-v2-lite-q6,heldout/bench/bench_python_stack_capture.py,4111,0.09657017757236683,397.0,0.4112009925240465,0.18049136463147653
deepseek-v2-lite-q6,heldout/libdd_go_hook/src/go_abi.c,1702,0.04171562867215041,71.0,0.3374859027932431,0.14336075205640422
deepseek-v2-lite-q6,heldout/libdd_go_hook/src/go_ctx.c,1215,0.06584362139917696,80.0,0.3272504683473271,0.14650205761316873
deepseek-v2-lite-q6,heldout/libdd_go_hook/src/go_pclntab.c,3129,0.07248322147651007,226.79999999999998,0.3019192654283549,0.1559603707254714
deepseek-v2-lite-q6,heldout/libdd_go_hook/src/go_read.c,373,0.06756032171581769,25.199999999999996,0.6011044997022965,0.289544235924933
deepseek-v2-lite-q6,heldout/libdd_go_hook/src/go_type.c,7898,0.07262598126107875,573.5999999999999,0.36123014017805694,0.18118511015446948
deepseek-v2-lite-q6,heldout/libdd_go_hook/src/go_x86_decode.c,1550,0.11096774193548387,172.0,0.4319666069935264,0.23032258064516128
deepseek-v2-lite-q6,heldout/libdd_go_hook/test/fixtures/hello_http.go,154,0.12077922077922079,18.6,0.4979678543415219,0.22077922077922077
deepseek-v2-lite-q6,heldout/libdd_go_hook/test/fixtures/hello_parent_child.go,455,0.10813186813186812,49.199999999999996,0.44418118538605345,0.21318681318681318
deepseek-v2-lite-q6,heldout/libdd_go_hook/test/test_go_abi.c,1015,0.04630541871921182,47.0,0.3951492813329151,0.1665024630541872
deepseek-v2-lite-q6,heldout/libdd_go_hook/test/test_go_arm64_decode.c,2948,0.04077340569877883,120.19999999999999,0.33115730216814565,0.1590909090909091
deepseek-v2-lite-q6,heldout/libdd_go_hook/test/test_go_type.c,2519,0.06891623660182612,173.6,0.4579537915588213,0.19849146486701072
deepseek-v2-lite-q6,heldout/libdd_go_hook/test/test_go_x86_decode.c,1374,0.03158660844250364,43.4,0.3296111429220674,0.1433770014556041
deepseek-v2-lite-q6,heldout/libdd_nccl_profiler/test/analyze_spans.py,1380,0.08739130434782608,120.6,0.8193478642224851,0.3471014492753623
deepseek-v2-lite-q6,heldout/libdd_nccl_profiler/test/nccl_allreduce_workload.py,232,0.11637931034482758,27.0,0.7240110843753661,0.3448275862068966
deepseek-v2-lite-q6,heldout/libdd_nccl_profiler/test/test_inspector_dd_span_accessor.cc,997,0.07482447342026077,74.6,0.6530079632569361,0.27382146439317956
deepseek-v2-lite-q6,heldout/libdd_nccl_profiler/test/test_inspector_event_pool.cc,1293,0.06202629543696828,80.19999999999999,0.4543558684358713,0.20185614849187936
